full_name,run_id,workflow_id,workflow_identifier,workflow_path,workflow_ref,html_url,run_number,run_attempt,status,run_conclusion,event,trigger,head_branch,head_sha,style,styles,target_style,multi_style_run_flag,invocation_types,third_party_provider_name,instru_job_count,controller_style_in_scope,controller_instru_job_count_gt0,controller_attempt_eq_1,controller_run_verdict_complete,Base,Robust,created_at,run_started_at,run_updated_at,study_run_duration_seconds,study_run_duration_source,study_layer1_time_to_instrumentation_envelope_seconds,study_layer1_instrumentation_job_envelope_seconds,study_layer1_post_instrumentation_tail_seconds,study_layer1_model,study_instru_distinct_job_count,study_instru_distinct_job_base_name_count,study_instru_matrix_like_job_count,study_instru_matrix_expanded_flag,study_instru_parallel_jobs_flag,study_instru_max_parallel_jobs,study_style_distinct_job_count,study_style_distinct_job_base_name_count,study_style_matrix_like_job_count,study_style_matrix_expanded_flag,study_style_parallel_same_style_flag,study_style_max_parallel_jobs,study_style_repeated_same_style_flag,study_style_invocation_candidate_step_count_proxy,study_style_distinct_invocation_step_name_count_proxy,study_style_invocation_candidate_step_names_proxy,study_style_same_style_complexity_class,study_pre_invocation_direct_seconds,study_pre_invocation_direct_source,study_invocation_execution_window_direct_seconds,study_invocation_execution_window_direct_source,study_post_invocation_direct_seconds,study_post_invocation_direct_source,study_pre_invocation_selected_stage3_seconds,study_pre_invocation_selected_stage3_source,study_invocation_execution_window_selected_stage3_seconds,study_invocation_execution_window_selected_stage3_source,study_post_invocation_selected_stage3_seconds,study_post_invocation_selected_stage3_source,study_layer2_measurement_mode,study_layer2_measurement_quality,study_invocation_candidate_count_total,study_stage1_anchor_candidate_count,study_explicit_instru_candidate_count,study_custom_supported_candidate_count,study_distinct_invocation_candidate_step_name_count,study_distinct_invocation_candidate_job_count,study_invocation_candidate_step_names,study_invocation_candidate_job_names,study_selected_invocation_priority_source,study_execution_window_candidate_count,study_execution_window_distinct_job_count,study_execution_window_candidate_job_names,study_cross_job_execution_window_flag,study_run_boundary_start_at,study_run_boundary_end_at,study_matched_invocation_step_name,study_matched_invocation_job_name,study_matched_invocation_source,study_matched_invocation_step_started_at,study_matched_invocation_step_completed_at,study_matched_invocation_job_ordinal_in_run,study_matched_invocation_step_ordinal_in_job,study_invocation_execution_end_step_name,study_invocation_execution_end_job_name,study_invocation_execution_end_source,study_invocation_execution_end_step_started_at,study_invocation_execution_end_step_completed_at,study_invocation_execution_end_job_ordinal_in_run,study_invocation_execution_end_step_ordinal_in_job,study_invocation_execution_window_started_at,study_invocation_execution_window_ended_at,study_cutpoint_pre_invocation_diff_seconds,study_cutpoint_execution_window_diff_seconds,study_cutpoint_post_invocation_diff_seconds,study_cutpoint_consistency_flag,study_temporal_order_flag,study_setup_sum_seconds,study_provision_sum_seconds,study_test_sum_seconds,study_artifact_report_sum_seconds,study_cleanup_teardown_sum_seconds,study_other_sum_seconds,study_execution_related_sum_seconds,study_non_execution_overhead_sum_seconds,study_pre_test_overhead_sum_seconds,study_active_test_sum_seconds,study_post_test_overhead_sum_seconds,study_setup_step_count,study_provision_step_count,study_test_step_count,study_artifact_report_step_count,study_cleanup_teardown_step_count,study_other_step_count,study_execution_related_step_count,study_non_execution_overhead_step_count,study_pre_test_overhead_step_count,study_active_test_step_count,study_post_test_overhead_step_count,study_effective_ref_for_stage4,study_signature_inputs,study_sig_basis_base,study_signature_hash_base,study_sig_basis_full,study_signature_hash_full,study_signature_hash,study_runner_os_bucket,study_runner_os_source,study_job_count_total,study_job_count_total_bucket,study_step_count_exec,study_step_count_exec_bucket,study_step_count_decl,study_step_count_decl_bucket,study_step_count_total_bucket,study_step_count_source,study_junit_cases,study_junit_source,study_test_suite_size_bucket
connectbot/connectbot,23629159552,6226310,Continuous Integration,.github/workflows/ci.yml,26bdc3addc09a83d9d02f82481cad88eed4d6d1c,https://github.com/connectbot/connectbot/actions/runs/23629159552,2747,1,completed,success,push,,main,26bdc3addc09a83d9d02f82481cad88eed4d6d1c,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-27T03:05:29Z,2026-03-27T03:05:29Z,2026-03-27T03:34:04Z,1715,run_api,3.0,1690.0,22.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,1159.0,measured_step_telemetry,489.0,measured_step_telemetry,67.0,measured_step_telemetry,1159.0,measured_step_telemetry,489.0,measured_step_telemetry,67.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-27T03:05:29Z,2026-03-27T03:34:04Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-27T03:24:48Z,2026-03-27T03:32:57Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-27T03:24:48Z,2026-03-27T03:32:57Z,1.0,10.0,2026-03-27T03:24:48Z,2026-03-27T03:32:57Z,0.0,0.0,0.0,ok,ok,31,0,533,5,0,1131,533,1167,1155,492,53,4,0,2,3,0,18,2,25,9,3,15,26bdc3addc09a83d9d02f82481cad88eed4d6d1c,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,ubuntu,run_metrics,3,2_3,27,21_40,17.0,<=20,21_40,executed_dedup,,none,unknown
connectbot/connectbot,23629153935,6226310,Continuous Integration,.github/workflows/ci.yml,0136077fcdeaed62d7dc80b0ece4b3c5af2beac7,https://github.com/connectbot/connectbot/actions/runs/23629153935,2746,1,completed,success,push,,main,0136077fcdeaed62d7dc80b0ece4b3c5af2beac7,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-27T03:05:18Z,2026-03-27T03:05:18Z,2026-03-27T03:32:13Z,1615,run_api,3.0,1584.0,28.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,1027.0,measured_step_telemetry,501.0,measured_step_telemetry,87.0,measured_step_telemetry,1027.0,measured_step_telemetry,501.0,measured_step_telemetry,87.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-27T03:05:18Z,2026-03-27T03:32:13Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-27T03:22:25Z,2026-03-27T03:30:46Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-27T03:22:25Z,2026-03-27T03:30:46Z,1.0,10.0,2026-03-27T03:22:25Z,2026-03-27T03:30:46Z,0.0,0.0,0.0,ok,ok,34,0,546,6,0,1013,546,1053,1023,504,72,4,0,2,3,0,18,2,25,9,3,15,0136077fcdeaed62d7dc80b0ece4b3c5af2beac7,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,ubuntu,run_metrics,3,2_3,27,21_40,17.0,<=20,21_40,executed_dedup,,none,unknown
connectbot/connectbot,23629021760,6226310,Continuous Integration,.github/workflows/ci.yml,4d2e6ffd05773a9552b426bd0142fbb80884d20f,https://github.com/connectbot/connectbot/actions/runs/23629021760,2744,1,completed,success,push,,main,4d2e6ffd05773a9552b426bd0142fbb80884d20f,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-27T03:00:28Z,2026-03-27T03:00:28Z,2026-03-27T03:24:37Z,1449,run_api,2.0,1418.0,29.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,919.0,measured_step_telemetry,444.0,measured_step_telemetry,86.0,measured_step_telemetry,919.0,measured_step_telemetry,444.0,measured_step_telemetry,86.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-27T03:00:28Z,2026-03-27T03:24:37Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-27T03:15:47Z,2026-03-27T03:23:11Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-27T03:15:47Z,2026-03-27T03:23:11Z,1.0,10.0,2026-03-27T03:15:47Z,2026-03-27T03:23:11Z,0.0,0.0,0.0,ok,ok,29,0,470,7,0,930,470,966,917,445,74,4,0,2,3,0,18,2,25,9,2,16,4d2e6ffd05773a9552b426bd0142fbb80884d20f,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,ubuntu,run_metrics,3,2_3,27,21_40,17.0,<=20,21_40,executed_dedup,,none,unknown
connectbot/connectbot,23629012023,6226310,Continuous Integration,.github/workflows/ci.yml,5f838db1c94d538b4a0e6568ba8bc9ab987d81bb,https://github.com/connectbot/connectbot/actions/runs/23629012023,2743,1,completed,success,push,,main,5f838db1c94d538b4a0e6568ba8bc9ab987d81bb,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-27T03:00:08Z,2026-03-27T03:00:08Z,2026-03-27T03:24:07Z,1439,run_api,2.0,1405.0,32.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,939.0,measured_step_telemetry,421.0,measured_step_telemetry,79.0,measured_step_telemetry,939.0,measured_step_telemetry,421.0,measured_step_telemetry,79.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-27T03:00:08Z,2026-03-27T03:24:07Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-27T03:15:47Z,2026-03-27T03:22:48Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-27T03:15:47Z,2026-03-27T03:22:48Z,1.0,10.0,2026-03-27T03:15:47Z,2026-03-27T03:22:48Z,0.0,0.0,0.0,ok,ok,29,0,439,8,0,948,439,985,936,424,64,4,0,2,3,0,18,2,25,9,3,15,5f838db1c94d538b4a0e6568ba8bc9ab987d81bb,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,ubuntu,run_metrics,3,2_3,27,21_40,17.0,<=20,21_40,executed_dedup,,none,unknown
connectbot/connectbot,23629007568,6226310,Continuous Integration,.github/workflows/ci.yml,2013fc30898d6f91162ee3825bef1efa4d69a7d9,https://github.com/connectbot/connectbot/actions/runs/23629007568,2742,1,completed,success,push,,main,2013fc30898d6f91162ee3825bef1efa4d69a7d9,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-27T02:59:58Z,2026-03-27T02:59:58Z,2026-03-27T03:22:39Z,1361,run_api,3.0,1323.0,35.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,878.0,measured_step_telemetry,386.0,measured_step_telemetry,97.0,measured_step_telemetry,878.0,measured_step_telemetry,386.0,measured_step_telemetry,97.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-27T02:59:58Z,2026-03-27T03:22:39Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-27T03:14:36Z,2026-03-27T03:21:02Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-27T03:14:36Z,2026-03-27T03:21:02Z,1.0,10.0,2026-03-27T03:14:36Z,2026-03-27T03:21:02Z,0.0,0.0,0.0,ok,ok,34,0,406,10,0,891,406,935,874,387,80,4,0,2,3,0,18,2,25,9,2,16,2013fc30898d6f91162ee3825bef1efa4d69a7d9,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,ubuntu,run_metrics,3,2_3,27,21_40,17.0,<=20,21_40,executed_dedup,,none,unknown
connectbot/connectbot,23529764257,6226310,Continuous Integration,.github/workflows/ci.yml,0f68daedbfee214395a2985a2076cd9197517242,https://github.com/connectbot/connectbot/actions/runs/23529764257,2738,1,completed,success,schedule,,main,0f68daedbfee214395a2985a2076cd9197517242,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-25T07:26:21Z,2026-03-25T07:26:21Z,2026-03-25T07:35:43Z,562,run_api,3.0,558.0,1.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,162.0,measured_step_telemetry,367.0,measured_step_telemetry,33.0,measured_step_telemetry,162.0,measured_step_telemetry,367.0,measured_step_telemetry,33.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-25T07:26:21Z,2026-03-25T07:35:43Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-25T07:29:03Z,2026-03-25T07:35:10Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-25T07:29:03Z,2026-03-25T07:35:10Z,1.0,10.0,2026-03-25T07:29:03Z,2026-03-25T07:35:10Z,0.0,0.0,0.0,ok,ok,30,0,389,0,0,135,389,165,158,395,1,4,0,2,1,0,9,2,14,9,4,3,0f68daedbfee214395a2985a2076cd9197517242,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=<=20",b89a706d1102e415,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=<=20
test_suite_size_bucket=unknown",f918af223584d050,f918af223584d050,ubuntu,run_metrics,3,2_3,16,<=20,17.0,<=20,<=20,executed_dedup,,none,unknown
connectbot/connectbot,23466307072,6226310,Continuous Integration,.github/workflows/ci.yml,0f68daedbfee214395a2985a2076cd9197517242,https://github.com/connectbot/connectbot/actions/runs/23466307072,2735,1,completed,success,push,,main,0f68daedbfee214395a2985a2076cd9197517242,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-24T00:03:25Z,2026-03-24T00:03:25Z,2026-03-24T00:26:49Z,1404,run_api,2.0,1369.0,33.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,903.0,measured_step_telemetry,405.0,measured_step_telemetry,96.0,measured_step_telemetry,903.0,measured_step_telemetry,405.0,measured_step_telemetry,96.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-24T00:03:25Z,2026-03-24T00:26:49Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-24T00:18:28Z,2026-03-24T00:25:13Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-24T00:18:28Z,2026-03-24T00:25:13Z,1.0,10.0,2026-03-24T00:18:28Z,2026-03-24T00:25:13Z,0.0,0.0,0.0,ok,ok,31,0,458,9,0,891,458,931,900,406,83,4,0,2,3,0,18,2,25,9,2,16,0f68daedbfee214395a2985a2076cd9197517242,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,ubuntu,run_metrics,3,2_3,27,21_40,17.0,<=20,21_40,executed_dedup,,none,unknown
connectbot/connectbot,23462188673,6226310,Continuous Integration,.github/workflows/ci.yml,c0b3d862c8a151679f24a47e30559966148e1b0b,https://github.com/connectbot/connectbot/actions/runs/23462188673,2733,1,completed,success,push,,main,c0b3d862c8a151679f24a47e30559966148e1b0b,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-23T21:57:54Z,2026-03-23T21:57:54Z,2026-03-23T22:20:10Z,1336,run_api,4.0,1306.0,26.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,852.0,measured_step_telemetry,409.0,measured_step_telemetry,75.0,measured_step_telemetry,852.0,measured_step_telemetry,409.0,measured_step_telemetry,75.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-23T21:57:54Z,2026-03-23T22:20:10Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-23T22:12:06Z,2026-03-23T22:18:55Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-23T22:12:06Z,2026-03-23T22:18:55Z,1.0,10.0,2026-03-23T22:12:06Z,2026-03-23T22:18:55Z,0.0,0.0,0.0,ok,ok,29,0,444,6,0,841,444,876,847,410,63,4,0,2,3,0,18,2,25,9,2,16,c0b3d862c8a151679f24a47e30559966148e1b0b,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,ubuntu,run_metrics,3,2_3,27,21_40,17.0,<=20,21_40,executed_dedup,,none,unknown
connectbot/connectbot,23398131889,6226310,Continuous Integration,.github/workflows/ci.yml,8278f491fe33c1c07ff32aa999e8fa7d96fd05da,https://github.com/connectbot/connectbot/actions/runs/23398131889,2730,1,completed,success,schedule,,main,8278f491fe33c1c07ff32aa999e8fa7d96fd05da,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-22T07:19:51Z,2026-03-22T07:19:51Z,2026-03-22T07:28:20Z,509,run_api,2.0,506.0,1.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,148.0,measured_step_telemetry,357.0,measured_step_telemetry,4.0,measured_step_telemetry,148.0,measured_step_telemetry,357.0,measured_step_telemetry,4.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-22T07:19:51Z,2026-03-22T07:28:20Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-22T07:22:19Z,2026-03-22T07:28:16Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-22T07:22:19Z,2026-03-22T07:28:16Z,1.0,10.0,2026-03-22T07:22:19Z,2026-03-22T07:28:16Z,0.0,0.0,0.0,ok,ok,28,0,394,0,0,83,394,111,146,358,1,4,0,2,1,0,9,2,14,9,4,3,8278f491fe33c1c07ff32aa999e8fa7d96fd05da,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=<=20",b89a706d1102e415,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=<=20
test_suite_size_bucket=unknown",f918af223584d050,f918af223584d050,ubuntu,run_metrics,3,2_3,16,<=20,17.0,<=20,<=20,executed_dedup,,none,unknown
connectbot/connectbot,23385720308,6226310,Continuous Integration,.github/workflows/ci.yml,8278f491fe33c1c07ff32aa999e8fa7d96fd05da,https://github.com/connectbot/connectbot/actions/runs/23385720308,2728,1,completed,success,push,,main,8278f491fe33c1c07ff32aa999e8fa7d96fd05da,Community,Community,Community,False,"Gradle,Gradle_Connected",,1,True,True,True,True,True,True,2026-03-21T18:16:50Z,2026-03-21T18:16:50Z,2026-03-21T18:39:54Z,1384,run_api,2.0,1338.0,44.0,instrumentation_job_envelope,,,,,,,1,1,0,False,False,1,True,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,911.0,measured_step_telemetry,392.0,measured_step_telemetry,81.0,measured_step_telemetry,911.0,measured_step_telemetry,392.0,measured_step_telemetry,81.0,measured_step_telemetry,measured_step_based,direct_step_plus_last_execution_related_step,2,1,1,0,2,1,"Run instrument tests,Enable KVM for emulator and clear up space",Build and test,stage1_anchor_match,1,1,Build and test,False,2026-03-21T18:16:50Z,2026-03-21T18:39:54Z,Run instrument tests,Build and test,stage1_anchor_match,2026-03-21T18:32:01Z,2026-03-21T18:38:33Z,1.0,10.0,Run instrument tests,Build and test,last_execution_related_step_path_linked_same_platform,2026-03-21T18:32:01Z,2026-03-21T18:38:33Z,1.0,10.0,2026-03-21T18:32:01Z,2026-03-21T18:38:33Z,0.0,0.0,0.0,ok,ok,28,0,430,7,0,894,430,929,908,393,58,4,0,2,3,0,18,2,25,9,2,16,8278f491fe33c1c07ff32aa999e8fa7d96fd05da,steps+yaml,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,ubuntu,run_metrics,3,2_3,27,21_40,17.0,<=20,21_40,executed_dedup,,none,unknown
