full_name,default_branch,workflow_identifier,workflow_id,workflow_path,looks_like_instru,styles,invocation_types,third_party_provider_name,test_invocation_step_names,anchor_job_ordinal,anchor_step_ordinal_in_job,called_instru_signal,called_instru_file_paths,called_instru_origin_refs,called_instru_origin_step_names,called_instru_file_types,run_id,run_number,run_attempt,head_sha,created_at,run_started_at,run_updated_at,status,run_conclusion,event,head_branch,html_url,extracted_at_utc,L1_run_started_at_effective,L1_run_ended_at_effective,L1_run_duration_seconds_effective,L1_run_timing_source,queue_seconds,instru_detect_method,instru_job_count,instru_job_names,instru_first_started_at,instru_last_completed_at,instru_window_seconds,instru_distinct_job_count,instru_distinct_job_base_name_count,instru_matrix_like_job_count,instru_matrix_expanded_flag,instru_parallel_jobs_flag,instru_max_parallel_jobs,time_to_instrumentation_envelope_seconds,instrumentation_job_envelope_seconds,post_instrumentation_tail_seconds,layer1_model,layer1_proxy_quality,anchor_job_name,anchor_job_started_at,anchor_job_completed_at,anchor_job_source,pre_invocation_seconds_proxy,invocation_execution_window_seconds_proxy,post_invocation_seconds_proxy,time_to_invocation_seconds_proxy,invocation_tail_seconds_proxy,time_to_first_instru_seconds,anchor_job_start_source,time_to_first_instru_from_anchor_job_seconds,time_to_first_instru_from_anchor_job_quality
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23629159552,2747,1,26bdc3addc09a83d9d02f82481cad88eed4d6d1c,2026-03-27T03:05:29Z,2026-03-27T03:05:29Z,2026-03-27T03:34:04Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23629159552,2026-03-27T05:19:47.445439+00:00,2026-03-27T03:05:29Z,2026-03-27T03:34:04Z,1715,run_api,0,step_name_anchor,1,Build and test,2026-03-27T03:05:32Z,2026-03-27T03:33:42Z,1690,1,1,0,false,false,1,3,1690,22,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-27T03:05:32Z,2026-03-27T03:33:42Z,step_name_anchor,3,1690,22,3,22,3,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23629153935,2746,1,0136077fcdeaed62d7dc80b0ece4b3c5af2beac7,2026-03-27T03:05:18Z,2026-03-27T03:05:18Z,2026-03-27T03:32:13Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23629153935,2026-03-27T05:19:47.773431+00:00,2026-03-27T03:05:18Z,2026-03-27T03:32:13Z,1615,run_api,0,step_name_anchor,1,Build and test,2026-03-27T03:05:21Z,2026-03-27T03:31:45Z,1584,1,1,0,false,false,1,3,1584,28,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-27T03:05:21Z,2026-03-27T03:31:45Z,step_name_anchor,3,1584,28,3,28,3,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23629021760,2744,1,4d2e6ffd05773a9552b426bd0142fbb80884d20f,2026-03-27T03:00:28Z,2026-03-27T03:00:28Z,2026-03-27T03:24:37Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23629021760,2026-03-27T05:19:48.025876+00:00,2026-03-27T03:00:28Z,2026-03-27T03:24:37Z,1449,run_api,0,step_name_anchor,1,Build and test,2026-03-27T03:00:30Z,2026-03-27T03:24:08Z,1418,1,1,0,false,false,1,2,1418,29,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-27T03:00:30Z,2026-03-27T03:24:08Z,step_name_anchor,2,1418,29,2,29,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23629012023,2743,1,5f838db1c94d538b4a0e6568ba8bc9ab987d81bb,2026-03-27T03:00:08Z,2026-03-27T03:00:08Z,2026-03-27T03:24:07Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23629012023,2026-03-27T05:19:48.353879+00:00,2026-03-27T03:00:08Z,2026-03-27T03:24:07Z,1439,run_api,0,step_name_anchor,1,Build and test,2026-03-27T03:00:10Z,2026-03-27T03:23:35Z,1405,1,1,0,false,false,1,2,1405,32,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-27T03:00:10Z,2026-03-27T03:23:35Z,step_name_anchor,2,1405,32,2,32,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23629007568,2742,1,2013fc30898d6f91162ee3825bef1efa4d69a7d9,2026-03-27T02:59:58Z,2026-03-27T02:59:58Z,2026-03-27T03:22:39Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23629007568,2026-03-27T05:19:48.721337+00:00,2026-03-27T02:59:58Z,2026-03-27T03:22:39Z,1361,run_api,0,step_name_anchor,1,Build and test,2026-03-27T03:00:01Z,2026-03-27T03:22:04Z,1323,1,1,0,false,false,1,3,1323,35,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-27T03:00:01Z,2026-03-27T03:22:04Z,step_name_anchor,3,1323,35,3,35,3,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23529764257,2738,1,0f68daedbfee214395a2985a2076cd9197517242,2026-03-25T07:26:21Z,2026-03-25T07:26:21Z,2026-03-25T07:35:43Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/23529764257,2026-03-27T05:19:48.955656+00:00,2026-03-25T07:26:21Z,2026-03-25T07:35:43Z,562,run_api,0,step_name_anchor,1,Build and test,2026-03-25T07:26:24Z,2026-03-25T07:35:42Z,558,1,1,0,false,false,1,3,558,1,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-25T07:26:24Z,2026-03-25T07:35:42Z,step_name_anchor,3,558,1,3,1,3,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23507948204,2736,1,d698c5253570776fd037c496484cca5fec2af6f2,2026-03-24T19:18:22Z,2026-03-24T19:18:22Z,2026-03-24T19:18:22Z,completed,action_required,pull_request,main,https://github.com/connectbot/connectbot/actions/runs/23507948204,2026-03-27T05:19:49.121321+00:00,2026-03-24T19:18:22Z,2026-03-24T19:18:22Z,0,run_api,0,none,0,,,,,0,0,0,false,false,0,,,,instrumentation_job_envelope,missing,,,,missing,,,,,,,missing,,missing
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23466307072,2735,1,0f68daedbfee214395a2985a2076cd9197517242,2026-03-24T00:03:25Z,2026-03-24T00:03:25Z,2026-03-24T00:26:49Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23466307072,2026-03-27T05:19:49.455555+00:00,2026-03-24T00:03:25Z,2026-03-24T00:26:49Z,1404,run_api,0,step_name_anchor,1,Build and test,2026-03-24T00:03:27Z,2026-03-24T00:26:16Z,1369,1,1,0,false,false,1,2,1369,33,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-24T00:03:27Z,2026-03-24T00:26:16Z,step_name_anchor,2,1369,33,2,33,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23462188673,2733,1,c0b3d862c8a151679f24a47e30559966148e1b0b,2026-03-23T21:57:54Z,2026-03-23T21:57:54Z,2026-03-23T22:20:10Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23462188673,2026-03-27T05:19:49.784269+00:00,2026-03-23T21:57:54Z,2026-03-23T22:20:10Z,1336,run_api,0,step_name_anchor,1,Build and test,2026-03-23T21:57:58Z,2026-03-23T22:19:44Z,1306,1,1,0,false,false,1,4,1306,26,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-23T21:57:58Z,2026-03-23T22:19:44Z,step_name_anchor,4,1306,26,4,26,4,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23400321652,2731,1,a117d6a88f096505c41661a31f87f9c348cb870b,2026-03-22T09:39:44Z,2026-03-22T09:39:44Z,2026-03-22T09:39:44Z,completed,action_required,pull_request,main,https://github.com/connectbot/connectbot/actions/runs/23400321652,2026-03-27T05:19:49.940913+00:00,2026-03-22T09:39:44Z,2026-03-22T09:39:44Z,0,run_api,0,none,0,,,,,0,0,0,false,false,0,,,,instrumentation_job_envelope,missing,,,,missing,,,,,,,missing,,missing
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23398131889,2730,1,8278f491fe33c1c07ff32aa999e8fa7d96fd05da,2026-03-22T07:19:51Z,2026-03-22T07:19:51Z,2026-03-22T07:28:20Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/23398131889,2026-03-27T05:19:50.184199+00:00,2026-03-22T07:19:51Z,2026-03-22T07:28:20Z,509,run_api,0,step_name_anchor,1,Build and test,2026-03-22T07:19:53Z,2026-03-22T07:28:19Z,506,1,1,0,false,false,1,2,506,1,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-22T07:19:53Z,2026-03-22T07:28:19Z,step_name_anchor,2,506,1,2,1,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23385720308,2728,1,8278f491fe33c1c07ff32aa999e8fa7d96fd05da,2026-03-21T18:16:50Z,2026-03-21T18:16:50Z,2026-03-21T18:39:54Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23385720308,2026-03-27T05:19:50.516875+00:00,2026-03-21T18:16:50Z,2026-03-21T18:39:54Z,1384,run_api,0,step_name_anchor,1,Build and test,2026-03-21T18:16:52Z,2026-03-21T18:39:10Z,1338,1,1,0,false,false,1,2,1338,44,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-21T18:16:52Z,2026-03-21T18:39:10Z,step_name_anchor,2,1338,44,2,44,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23364621137,2723,1,4852c466947c543226bac6b37b053b39cb602e5f,2026-03-20T22:10:26Z,2026-03-20T22:10:26Z,2026-03-20T22:35:25Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23364621137,2026-03-27T05:19:50.885621+00:00,2026-03-20T22:10:26Z,2026-03-20T22:35:25Z,1499,run_api,0,step_name_anchor,1,Build and test,2026-03-20T22:10:29Z,2026-03-20T22:34:55Z,1466,1,1,0,false,false,1,3,1466,30,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-20T22:10:29Z,2026-03-20T22:34:55Z,step_name_anchor,3,1466,30,3,30,3,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23358537727,2720,1,11044073a4ac82c42ebf33e6d4d7570a5b2375aa,2026-03-20T19:08:49Z,2026-03-20T19:08:49Z,2026-03-20T19:33:31Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23358537727,2026-03-27T05:19:51.201361+00:00,2026-03-20T19:08:49Z,2026-03-20T19:33:31Z,1482,run_api,0,step_name_anchor,1,Build and test,2026-03-20T19:08:52Z,2026-03-20T19:33:05Z,1453,1,1,0,false,false,1,3,1453,26,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-20T19:08:52Z,2026-03-20T19:33:05Z,step_name_anchor,3,1453,26,3,26,3,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23358533064,2719,1,9c2581801f81aafa8c9b47f5fe4496923a2f8e6d,2026-03-20T19:08:40Z,2026-03-20T19:08:40Z,2026-03-20T19:33:44Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23358533064,2026-03-27T05:19:51.559554+00:00,2026-03-20T19:08:40Z,2026-03-20T19:33:44Z,1504,run_api,0,step_name_anchor,1,Build and test,2026-03-20T19:08:43Z,2026-03-20T19:33:10Z,1467,1,1,0,false,false,1,3,1467,34,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-20T19:08:43Z,2026-03-20T19:33:10Z,step_name_anchor,3,1467,34,3,34,3,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23358527662,2718,1,1587bbc5fc8f4be4ab49504b65c286b4e7d09bd7,2026-03-20T19:08:31Z,2026-03-20T19:08:31Z,2026-03-20T19:30:13Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23358527662,2026-03-27T05:19:51.936360+00:00,2026-03-20T19:08:31Z,2026-03-20T19:30:13Z,1302,run_api,0,step_name_anchor,1,Build and test,2026-03-20T19:08:34Z,2026-03-20T19:29:47Z,1273,1,1,0,false,false,1,3,1273,26,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-20T19:08:34Z,2026-03-20T19:29:47Z,step_name_anchor,3,1273,26,3,26,3,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23358523864,2717,1,a2ffddb157aaed9638597cee0cf444e193bdbb36,2026-03-20T19:08:25Z,2026-03-20T19:08:25Z,2026-03-20T19:30:39Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23358523864,2026-03-27T05:19:52.280020+00:00,2026-03-20T19:08:25Z,2026-03-20T19:30:39Z,1334,run_api,0,step_name_anchor,1,Build and test,2026-03-20T19:08:27Z,2026-03-20T19:30:10Z,1303,1,1,0,false,false,1,2,1303,29,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-20T19:08:27Z,2026-03-20T19:30:10Z,step_name_anchor,2,1303,29,2,29,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23358519946,2716,1,6078d30d54b9d9ffbc5bae459b69b15546736123,2026-03-20T19:08:18Z,2026-03-20T19:08:18Z,2026-03-20T19:30:04Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23358519946,2026-03-27T05:19:52.605067+00:00,2026-03-20T19:08:18Z,2026-03-20T19:30:04Z,1306,run_api,0,step_name_anchor,1,Build and test,2026-03-20T19:08:20Z,2026-03-20T19:29:37Z,1277,1,1,0,false,false,1,2,1277,27,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-20T19:08:20Z,2026-03-20T19:29:37Z,step_name_anchor,2,1277,27,2,27,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23284302791,2713,1,0944e1b264e71d4345c83066223b8ab9ebf7ce4d,2026-03-19T07:24:41Z,2026-03-19T07:24:41Z,2026-03-19T07:34:09Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/23284302791,2026-03-27T05:19:52.846259+00:00,2026-03-19T07:24:41Z,2026-03-19T07:34:09Z,568,run_api,0,step_name_anchor,1,Build and test,2026-03-19T07:24:44Z,2026-03-19T07:34:08Z,564,1,1,0,false,false,1,3,564,1,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-19T07:24:44Z,2026-03-19T07:34:08Z,step_name_anchor,3,564,1,3,1,3,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23171866011,2707,1,0944e1b264e71d4345c83066223b8ab9ebf7ce4d,2026-03-17T00:05:21Z,2026-03-17T00:05:21Z,2026-03-17T00:31:41Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23171866011,2026-03-27T05:19:53.169950+00:00,2026-03-17T00:05:21Z,2026-03-17T00:31:41Z,1580,run_api,0,step_name_anchor,1,Build and test,2026-03-17T00:05:23Z,2026-03-17T00:31:06Z,1543,1,1,0,false,false,1,2,1543,35,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-17T00:05:23Z,2026-03-17T00:31:06Z,step_name_anchor,2,1543,35,2,35,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23171849685,2706,1,bac36988c6ad1d459cb3bdfc1afd6b7754c014c5,2026-03-17T00:04:48Z,2026-03-17T00:04:48Z,2026-03-17T00:30:40Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23171849685,2026-03-27T05:19:53.429032+00:00,2026-03-17T00:04:48Z,2026-03-17T00:30:40Z,1552,run_api,0,step_name_anchor,1,Build and test,2026-03-17T00:04:50Z,2026-03-17T00:30:10Z,1520,1,1,0,false,false,1,2,1520,30,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-17T00:04:50Z,2026-03-17T00:30:10Z,step_name_anchor,2,1520,30,2,30,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23171829938,2705,1,84463432802f13dfa2266c6086da1995a12e0e80,2026-03-17T00:04:05Z,2026-03-17T00:04:05Z,2026-03-17T00:29:19Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23171829938,2026-03-27T05:19:53.751991+00:00,2026-03-17T00:04:05Z,2026-03-17T00:29:19Z,1514,run_api,0,step_name_anchor,1,Build and test,2026-03-17T00:04:07Z,2026-03-17T00:28:45Z,1478,1,1,0,false,false,1,2,1478,34,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-17T00:04:07Z,2026-03-17T00:28:45Z,step_name_anchor,2,1478,34,2,34,2,step_name_anchor,0,anchor_job_reference
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,1,9,False,,,,,23171376761,2704,1,c0abd372aa446e729cddd3a88bbf4ba4052f08c7,2026-03-16T23:47:29Z,2026-03-16T23:47:29Z,2026-03-17T00:13:56Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23171376761,2026-03-27T05:19:54.058325+00:00,2026-03-16T23:47:29Z,2026-03-17T00:13:56Z,1587,run_api,0,step_name_anchor,1,Build and test,2026-03-16T23:47:32Z,2026-03-17T00:13:32Z,1560,1,1,0,false,false,1,3,1560,24,instrumentation_job_envelope,broad_job_envelope,Build and test,2026-03-16T23:47:32Z,2026-03-17T00:13:32Z,step_name_anchor,3,1560,24,3,24,3,step_name_anchor,0,anchor_job_reference
