full_name,workflow_identifier,workflow_id,workflow_path,run_id,run_number,run_attempt,created_at,run_started_at,run_updated_at,status,run_conclusion,event,head_branch,head_sha,html_url,target_style,styles_in_run_all,multi_style_run_flag,layer1_run_started_at_effective,layer1_run_ended_at_effective,layer1_run_duration_seconds_effective,layer1_run_timing_source,style_instru_job_count,style_instru_job_names,style_first_instru_job_name,style_first_instru_job_started_at,style_first_instru_job_source,style_last_instru_job_name,style_last_instru_job_completed_at,style_last_instru_job_source,style_distinct_job_count,style_distinct_job_base_name_count,style_matrix_like_job_count,style_matrix_expanded_flag,style_parallel_same_style_flag,style_max_parallel_jobs,style_repeated_same_style_flag,style_invocation_candidate_step_count_proxy,style_distinct_invocation_step_name_count_proxy,style_invocation_candidate_step_names_proxy,style_same_style_complexity_class,style_time_to_instrumentation_envelope_seconds,style_instrumentation_job_envelope_seconds,style_post_instrumentation_tail_seconds,style_layer1_model,style_anchor_job_name,style_anchor_job_started_at,style_anchor_job_completed_at,style_anchor_job_source,style_pre_invocation_seconds_proxy,style_invocation_execution_window_seconds_proxy,style_post_invocation_seconds_proxy,style_time_to_invocation_seconds_proxy,style_invocation_tail_seconds_proxy,style_time_to_instru_job_start_seconds,style_instru_job_envelope_seconds,style_post_instru_job_tail_seconds,style_job_detection_methods,style_job_segmentation_confidence,style_overlap_with_other_styles_flag,ambiguous_instru_job_names_in_run,all_instru_job_names_in_run,extracted_at_utc
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23629159552,2747,1,2026-03-27T03:05:29Z,2026-03-27T03:05:29Z,2026-03-27T03:34:04Z,completed,success,push,main,26bdc3addc09a83d9d02f82481cad88eed4d6d1c,https://github.com/connectbot/connectbot/actions/runs/23629159552,Community,Community,false,2026-03-27T03:05:29Z,2026-03-27T03:34:04Z,1715,run_api,1,Build and test,Build and test,2026-03-27T03:05:32Z,step_name_anchor,Build and test,2026-03-27T03:33:42Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,3,1690,22,instrumentation_job_envelope,Build and test,2026-03-27T03:05:32Z,2026-03-27T03:33:42Z,step_name_anchor,3,1690,22,3,22,3,1690,22,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:47.446203+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23629153935,2746,1,2026-03-27T03:05:18Z,2026-03-27T03:05:18Z,2026-03-27T03:32:13Z,completed,success,push,main,0136077fcdeaed62d7dc80b0ece4b3c5af2beac7,https://github.com/connectbot/connectbot/actions/runs/23629153935,Community,Community,false,2026-03-27T03:05:18Z,2026-03-27T03:32:13Z,1615,run_api,1,Build and test,Build and test,2026-03-27T03:05:21Z,step_name_anchor,Build and test,2026-03-27T03:31:45Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,3,1584,28,instrumentation_job_envelope,Build and test,2026-03-27T03:05:21Z,2026-03-27T03:31:45Z,step_name_anchor,3,1584,28,3,28,3,1584,28,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:47.774154+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23629021760,2744,1,2026-03-27T03:00:28Z,2026-03-27T03:00:28Z,2026-03-27T03:24:37Z,completed,success,push,main,4d2e6ffd05773a9552b426bd0142fbb80884d20f,https://github.com/connectbot/connectbot/actions/runs/23629021760,Community,Community,false,2026-03-27T03:00:28Z,2026-03-27T03:24:37Z,1449,run_api,1,Build and test,Build and test,2026-03-27T03:00:30Z,step_name_anchor,Build and test,2026-03-27T03:24:08Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,2,1418,29,instrumentation_job_envelope,Build and test,2026-03-27T03:00:30Z,2026-03-27T03:24:08Z,step_name_anchor,2,1418,29,2,29,2,1418,29,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:48.026585+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23629012023,2743,1,2026-03-27T03:00:08Z,2026-03-27T03:00:08Z,2026-03-27T03:24:07Z,completed,success,push,main,5f838db1c94d538b4a0e6568ba8bc9ab987d81bb,https://github.com/connectbot/connectbot/actions/runs/23629012023,Community,Community,false,2026-03-27T03:00:08Z,2026-03-27T03:24:07Z,1439,run_api,1,Build and test,Build and test,2026-03-27T03:00:10Z,step_name_anchor,Build and test,2026-03-27T03:23:35Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,2,1405,32,instrumentation_job_envelope,Build and test,2026-03-27T03:00:10Z,2026-03-27T03:23:35Z,step_name_anchor,2,1405,32,2,32,2,1405,32,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:48.354608+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23629007568,2742,1,2026-03-27T02:59:58Z,2026-03-27T02:59:58Z,2026-03-27T03:22:39Z,completed,success,push,main,2013fc30898d6f91162ee3825bef1efa4d69a7d9,https://github.com/connectbot/connectbot/actions/runs/23629007568,Community,Community,false,2026-03-27T02:59:58Z,2026-03-27T03:22:39Z,1361,run_api,1,Build and test,Build and test,2026-03-27T03:00:01Z,step_name_anchor,Build and test,2026-03-27T03:22:04Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,3,1323,35,instrumentation_job_envelope,Build and test,2026-03-27T03:00:01Z,2026-03-27T03:22:04Z,step_name_anchor,3,1323,35,3,35,3,1323,35,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:48.722050+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23529764257,2738,1,2026-03-25T07:26:21Z,2026-03-25T07:26:21Z,2026-03-25T07:35:43Z,completed,success,schedule,main,0f68daedbfee214395a2985a2076cd9197517242,https://github.com/connectbot/connectbot/actions/runs/23529764257,Community,Community,false,2026-03-25T07:26:21Z,2026-03-25T07:35:43Z,562,run_api,1,Build and test,Build and test,2026-03-25T07:26:24Z,step_name_anchor,Build and test,2026-03-25T07:35:42Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,3,558,1,instrumentation_job_envelope,Build and test,2026-03-25T07:26:24Z,2026-03-25T07:35:42Z,step_name_anchor,3,558,1,3,1,3,558,1,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:48.956192+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23507948204,2736,1,2026-03-24T19:18:22Z,2026-03-24T19:18:22Z,2026-03-24T19:18:22Z,completed,action_required,pull_request,main,d698c5253570776fd037c496484cca5fec2af6f2,https://github.com/connectbot/connectbot/actions/runs/23507948204,Community,Community,false,2026-03-24T19:18:22Z,2026-03-24T19:18:22Z,0,run_api,0,,,,missing,,,missing,0,0,0,false,false,0,false,0,0,,single_path,,,,instrumentation_job_envelope,,,,missing,,,,,,,,,,missing,false,,,2026-03-27T05:19:49.121454+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23466307072,2735,1,2026-03-24T00:03:25Z,2026-03-24T00:03:25Z,2026-03-24T00:26:49Z,completed,success,push,main,0f68daedbfee214395a2985a2076cd9197517242,https://github.com/connectbot/connectbot/actions/runs/23466307072,Community,Community,false,2026-03-24T00:03:25Z,2026-03-24T00:26:49Z,1404,run_api,1,Build and test,Build and test,2026-03-24T00:03:27Z,step_name_anchor,Build and test,2026-03-24T00:26:16Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,2,1369,33,instrumentation_job_envelope,Build and test,2026-03-24T00:03:27Z,2026-03-24T00:26:16Z,step_name_anchor,2,1369,33,2,33,2,1369,33,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:49.456270+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23462188673,2733,1,2026-03-23T21:57:54Z,2026-03-23T21:57:54Z,2026-03-23T22:20:10Z,completed,success,push,main,c0b3d862c8a151679f24a47e30559966148e1b0b,https://github.com/connectbot/connectbot/actions/runs/23462188673,Community,Community,false,2026-03-23T21:57:54Z,2026-03-23T22:20:10Z,1336,run_api,1,Build and test,Build and test,2026-03-23T21:57:58Z,step_name_anchor,Build and test,2026-03-23T22:19:44Z,step_name_anchor,1,1,0,false,false,1,true,2,2,"Enable KVM for emulator and clear up space,Run instrument tests",serial_or_multi_candidate_repeated,4,1306,26,instrumentation_job_envelope,Build and test,2026-03-23T21:57:58Z,2026-03-23T22:19:44Z,step_name_anchor,4,1306,26,4,26,4,1306,26,step_name_anchor,high,false,,Build and test,2026-03-27T05:19:49.784982+00:00
connectbot/connectbot,Continuous Integration,6226310,.github/workflows/ci.yml,23400321652,2731,1,2026-03-22T09:39:44Z,2026-03-22T09:39:44Z,2026-03-22T09:39:44Z,completed,action_required,pull_request,main,a117d6a88f096505c41661a31f87f9c348cb870b,https://github.com/connectbot/connectbot/actions/runs/23400321652,Community,Community,false,2026-03-22T09:39:44Z,2026-03-22T09:39:44Z,0,run_api,0,,,,missing,,,missing,0,0,0,false,false,0,false,0,0,,single_path,,,,instrumentation_job_envelope,,,,missing,,,,,,,,,,missing,false,,,2026-03-27T05:19:49.941055+00:00
