full_name,default_branch,workflow_identifier,workflow_id,workflow_path,looks_like_instru,styles,invocation_types,third_party_provider_name,test_invocation_step_names,jobs_before_anchor_count,called_instru_signal,called_instru_file_paths,called_instru_origin_refs,called_instru_origin_step_names,called_instru_file_types,run_id,run_number,run_attempt,head_sha,created_at,run_started_at,status,run_conclusion,event,head_branch,html_url,extracted_at_utc,queue_seconds,target_style,style_instru_job_count,time_to_first_instru_from_run_seconds,instru_duration_seconds,core_instru_window_seconds,instru_exec_window_seconds
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,23529764257,2738,1,0f68daedbfee214395a2985a2076cd9197517242,2026-03-25T07:26:21Z,2026-03-25T07:26:21Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/23529764257,2026-03-26T20:33:35.837891+00:00,0,Community,1,140,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,23358527662,2718,1,1587bbc5fc8f4be4ab49504b65c286b4e7d09bd7,2026-03-20T19:08:31Z,2026-03-20T19:08:31Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23358527662,2026-03-26T20:33:39.295697+00:00,0,Community,1,805,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,23171357789,2701,1,41a1a177d507821e587622c6b1f9cf815aea5efd,2026-03-16T23:46:51Z,2026-03-16T23:46:51Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/23171357789,2026-03-26T20:33:43.243284+00:00,0,Community,1,830,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,22553971141,2670,1,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,2026-03-01T22:12:08Z,2026-03-01T22:12:08Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22553971141,2026-03-26T20:33:46.983551+00:00,0,Community,1,808,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,22331493997,2654,1,2f783f64a4805241e61dd9749cefa5d9a8d4a696,2026-02-24T00:44:14Z,2026-02-24T00:44:14Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22331493997,2026-03-26T20:33:50.812162+00:00,0,Community,1,760,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,22184756661,2620,1,2c9d9fd18841a1be2a8c34c2847270c0e9c86b14,2026-02-19T13:58:08Z,2026-02-19T13:58:08Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/22184756661,2026-03-26T20:33:54.741044+00:00,0,Community,1,801,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,21978375506,2590,1,8cca2cfda42983089356583791e92f3f97e58127,2026-02-13T07:24:53Z,2026-02-13T07:24:53Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/21978375506,2026-03-26T20:33:58.624096+00:00,0,Community,1,113,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,21855706474,2568,1,d38cf403b785bdda806f34d50bac7c452225cf90,2026-02-10T07:28:04Z,2026-02-10T07:28:04Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/21855706474,2026-03-26T20:34:02.564180+00:00,0,Community,1,118,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,21540775148,2540,1,d9bf6412217afce5c468bd9e08bdb71b59a8f1f3,2026-01-31T07:12:39Z,2026-01-31T07:12:39Z,completed,success,schedule,main,https://github.com/connectbot/connectbot/actions/runs/21540775148,2026-03-26T20:34:06.216337+00:00,0,Community,1,111,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,21501136655,2514,1,b0268f3331cf6398169ced680efe487b9b4bdb6c,2026-01-30T01:32:02Z,2026-01-30T01:32:02Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/21501136655,2026-03-26T20:34:10.087180+00:00,0,Community,1,711,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,21419987527,2487,1,3a8e7efc04551587475ebe53e8835bbe7a1f0ec8,2026-01-28T00:35:35Z,2026-01-28T00:35:35Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/21419987527,2026-03-26T20:34:14.149368+00:00,0,Community,1,1011,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,21327806163,2464,1,88a3ecd46afd4fcdbd5ce5c741fffc3eb81c1dd0,2026-01-25T05:50:23Z,2026-01-25T05:50:23Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/21327806163,2026-03-26T20:34:18.199858+00:00,0,Community,1,736,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,21274212830,2444,1,acdef615f9f460ab63ddf9272c6f56cad75c29bb,2026-01-23T04:07:40Z,2026-01-23T04:07:40Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/21274212830,2026-03-26T20:34:22.506797+00:00,0,Community,1,823,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,21191972867,2425,1,c8e131dd2b0c36258aa748e8d16bfb918c06dd80,2026-01-21T00:04:41Z,2026-01-21T00:04:41Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/21191972867,2026-03-26T20:34:26.413700+00:00,0,Community,1,800,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,21021689345,2400,1,643918483e842a8a0ee5713ae89714c94f496ff0,2026-01-15T06:13:13Z,2026-01-15T06:13:13Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/21021689345,2026-03-26T20:34:29.898700+00:00,0,Community,1,968,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,20869497130,2364,1,83377a3c605a2958117effae1be9093b9600cd91,2026-01-10T00:21:56Z,2026-01-10T00:21:56Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/20869497130,2026-03-26T20:34:33.789348+00:00,0,Community,1,923,,,
connectbot/connectbot,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Community,"Gradle,Gradle_Connected",,Run instrument tests,,False,,,,,20628461170,2338,1,f785803cddac08bd32c4b3fde863d21eb5a69277,2025-12-31T22:42:17Z,2025-12-31T22:42:17Z,completed,success,push,main,https://github.com/connectbot/connectbot/actions/runs/20628461170,2026-03-26T20:34:37.952469+00:00,0,Community,1,984,,,
