full_name,workflow_id,run_id,run_attempt,declared_styles,job_name,step_number,step_name,status,conclusion,step_started_at,step_completed_at,seconds_from_run_start,global_step_index,anchor_match,explicit_instru,buildish,real_deviceish,thirdparty_marker,gmd_marker,androidish,custom_followed_file_support,called_origin_match
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,1,Set up job,completed,success,2026-03-25T07:26:25+00:00,2026-03-25T07:26:29+00:00,4,1,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,2,Checkout (with history),completed,success,2026-03-25T07:26:29+00:00,2026-03-25T07:26:31+00:00,8,2,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,3,Validate Gradle Wrapper,completed,success,2026-03-25T07:26:31+00:00,2026-03-25T07:26:32+00:00,10,3,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,4,Set up JDK,completed,success,2026-03-25T07:26:32+00:00,2026-03-25T07:26:37+00:00,11,4,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,5,Setup Gradle,completed,success,2026-03-25T07:26:37+00:00,2026-03-25T07:27:02+00:00,16,5,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,6,Delete old Android SDK cmdline-tools,completed,success,2026-03-25T07:27:02+00:00,2026-03-25T07:27:02+00:00,41,6,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,7,Setup Android SDK,completed,success,2026-03-25T07:27:02+00:00,2026-03-25T07:27:25+00:00,41,7,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,8,Build ConnectBot,completed,success,2026-03-25T07:27:25+00:00,2026-03-25T07:28:41+00:00,64,8,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,9,Enable KVM for emulator and clear up space,completed,success,2026-03-25T07:28:41+00:00,2026-03-25T07:29:03+00:00,140,9,True,False,False,False,False,False,True,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,10,Run instrument tests,completed,success,2026-03-25T07:29:03+00:00,2026-03-25T07:35:10+00:00,162,10,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,11,Prepare release,completed,skipped,2026-03-25T07:35:10+00:00,2026-03-25T07:35:10+00:00,529,11,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,12,Store artifacts for upload,completed,skipped,2026-03-25T07:35:10+00:00,2026-03-25T07:35:10+00:00,529,12,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,13,Post Setup Gradle,completed,success,2026-03-25T07:35:10+00:00,2026-03-25T07:35:38+00:00,529,13,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,14,Post Set up JDK,completed,success,2026-03-25T07:35:38+00:00,2026-03-25T07:35:39+00:00,557,14,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,15,Post Checkout (with history),completed,success,2026-03-25T07:35:39+00:00,2026-03-25T07:35:39+00:00,558,15,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23529764257,1,Community,Build and test,16,Complete job,completed,success,2026-03-25T07:35:39+00:00,2026-03-25T07:35:39+00:00,558,16,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Build and test,1,Set up job,completed,success,2026-03-24T00:03:28+00:00,2026-03-24T00:03:30+00:00,3,1,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Build and test,2,Checkout (with history),completed,success,2026-03-24T00:03:30+00:00,2026-03-24T00:03:32+00:00,5,2,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23466307072,1,Community,Build and test,3,Validate Gradle Wrapper,completed,success,2026-03-24T00:03:32+00:00,2026-03-24T00:03:32+00:00,7,3,False,False,False,False,False,False,False,False,False
