full_name,run_id,run_attempt,run_conclusion,style,instru_job_count,signature_hash_base,Base,Robust,run_duration_seconds,ttfts_seconds,queue_seconds,default_branch,workflow_identifier,workflow_id,workflow_path,looks_like_instru,styles,invocation_types,third_party_provider_name,test_invocation_step_names,jobs_before_anchor_count,run_number,head_sha,created_at,run_started_at,status,event,head_branch,html_url,extracted_at_utc,time_to_first_instru_seconds,instru_conclusion,instru_detect_method,instru_duration_seconds,runner_labels_union,instru_step_count,instru_job_names,instru_step_names,instru_total_seconds,instru_window_seconds,instru_first_started_at,instru_last_completed_at,instru_share_of_run,anchor_job_name,anchor_job_started_at,anchor_job_start_source,time_to_first_instru_from_anchor_job_seconds,time_to_first_instru_from_anchor_job_quality,S2_run_started_at_jobs_min,S2_run_ended_at_jobs_max,S2_run_duration_seconds_jobs_window,S2_run_timing_source,S2_queue_seconds,S2_time_to_first_instru_seconds,S2_instru_conclusion,S2_instru_detect_method,S2_instru_duration_seconds,S2_run_duration_seconds,S2_runner_labels_union,S2_instru_job_count,S2_instru_step_count,S2_instru_job_names,S2_instru_step_names,S2_instru_total_seconds,S2_instru_window_seconds,S2_instru_first_started_at,S2_instru_last_completed_at,S2_instru_share_of_run,S2_anchor_job_name,S2_anchor_job_started_at,S2_anchor_job_start_source,S2_time_to_first_instru_from_anchor_job_seconds,S2_time_to_first_instru_from_anchor_job_quality,first_test_step_started_at,ttfts_source,modified_ttfts_seconds,modified_ttfts_source,modified_ttfts_quality,jobs_to_anchor_job_count,jobs_to_anchor_job_count_source,instru_started_at,instru_ended_at,test_exec_started_at,test_exec_ended_at,pre_test_overhead_seconds,core_instru_window_seconds,post_test_overhead_seconds,instru_exec_sum_seconds,instru_exec_window_seconds,instru_exec_step_count,env_setup_sum_seconds,artifact_sum_seconds,third_party_job_count,third_party_job_names,third_party_provider_job_count,third_party_provider_job_names,stage3_extracted_at_utc,runner_os_bucket,job_count_total_bucket,step_count_total_bucket
connectbot/connectbot,22659215789,1,success,Emu_Community,1,8c96ed9cf868e592,True,True,518,158.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2681,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,2026-03-04T07:19:28Z,2026-03-04T07:19:28Z,completed,schedule,main,https://github.com/connectbot/connectbot/actions/runs/22659215789,2026-03-06T05:54:50.236884+00:00,158.0,success,step_name_anchor,360.0,ubuntu-latest,1,Build and test,Run instrument tests,358.0,358.0,2026-03-04T07:22:06Z,2026-03-04T07:28:04Z,0.69112,Build and test,2026-03-04T07:19:31Z,job_started_at,155,exact,2026-03-04T07:19:31Z,2026-03-04T07:28:09Z,518,jobs_window,0,158.0,success,step_name_anchor,358.0,518,ubuntu-latest,1,1,Build and test,Run instrument tests,358.0,358.0,2026-03-04T07:22:06Z,2026-03-04T07:28:04Z,0.69112,Build and test,2026-03-04T07:19:31Z,job_started_at,155,exact,2026-03-04T07:22:06Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-03-04T07:22:06Z,2026-03-04T07:28:06Z,2026-03-04T07:22:06Z,2026-03-04T07:28:04Z,0.0,358.0,2.0,358.0,358.0,1.0,358.0,,0,,0,,2026-03-06T05:57:33.119968+00:00,unknown,1,<=20
connectbot/connectbot,22553971141,1,success,Emu_Community,1,2c55c1219a688f60,True,True,1323,861.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2670,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,2026-03-01T22:12:08Z,2026-03-01T22:12:08Z,completed,push,main,https://github.com/connectbot/connectbot/actions/runs/22553971141,2026-03-06T05:54:50.570706+00:00,861.0,success,step_name_anchor,435.0,ubuntu-latest,1,Build and test,Run instrument tests,398.0,398.0,2026-03-01T22:26:29Z,2026-03-01T22:33:07Z,0.300831,Build and test,2026-03-01T22:12:10Z,job_started_at,859,exact,2026-03-01T22:12:10Z,2026-03-01T22:34:13Z,1323,jobs_window,0,861.0,success,step_name_anchor,398.0,1323,ubuntu-latest,1,1,Build and test,Run instrument tests,398.0,398.0,2026-03-01T22:26:29Z,2026-03-01T22:33:07Z,0.300831,Build and test,2026-03-01T22:12:10Z,job_started_at,859,exact,2026-03-01T22:26:29Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-03-01T22:26:29Z,2026-03-01T22:33:44Z,2026-03-01T22:26:29Z,2026-03-01T22:33:07Z,0.0,398.0,37.0,398.0,398.0,1.0,398.0,2.0,0,,0,,2026-03-06T05:57:33.385400+00:00,unknown,2_3,21_40
connectbot/connectbot,22553965990,1,success,Emu_Community,1,2c55c1219a688f60,True,True,1331,866.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2669,ab6e054a02ef0bd2ad6b07fa507801f68d48844d,2026-03-01T22:11:56Z,2026-03-01T22:11:56Z,completed,push,main,https://github.com/connectbot/connectbot/actions/runs/22553965990,2026-03-06T05:54:50.904042+00:00,866.0,success,step_name_anchor,440.0,ubuntu-latest,1,Build and test,Run instrument tests,406.0,406.0,2026-03-01T22:26:22Z,2026-03-01T22:33:08Z,0.305034,Build and test,2026-03-01T22:11:58Z,job_started_at,864,exact,2026-03-01T22:11:58Z,2026-03-01T22:34:09Z,1331,jobs_window,0,866.0,success,step_name_anchor,406.0,1331,ubuntu-latest,1,1,Build and test,Run instrument tests,406.0,406.0,2026-03-01T22:26:22Z,2026-03-01T22:33:08Z,0.305034,Build and test,2026-03-01T22:11:58Z,job_started_at,864,exact,2026-03-01T22:26:22Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-03-01T22:26:22Z,2026-03-01T22:33:42Z,2026-03-01T22:26:22Z,2026-03-01T22:33:08Z,0.0,406.0,34.0,406.0,406.0,1.0,406.0,3.0,0,,0,,2026-03-06T05:57:33.729055+00:00,unknown,2_3,21_40
connectbot/connectbot,22553961130,1,success,Emu_Community,1,2c55c1219a688f60,True,True,1323,838.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2668,0f62383edc671b8d62d692d2f5f2d2d7d2ccb706,2026-03-01T22:11:44Z,2026-03-01T22:11:44Z,completed,push,main,https://github.com/connectbot/connectbot/actions/runs/22553961130,2026-03-06T05:54:51.274907+00:00,838.0,success,step_name_anchor,456.0,ubuntu-latest,1,Build and test,Run instrument tests,422.0,422.0,2026-03-01T22:25:42Z,2026-03-01T22:32:44Z,0.318972,Build and test,2026-03-01T22:11:47Z,job_started_at,835,exact,2026-03-01T22:11:47Z,2026-03-01T22:33:50Z,1323,jobs_window,0,838.0,success,step_name_anchor,422.0,1323,ubuntu-latest,1,1,Build and test,Run instrument tests,422.0,422.0,2026-03-01T22:25:42Z,2026-03-01T22:32:44Z,0.318972,Build and test,2026-03-01T22:11:47Z,job_started_at,835,exact,2026-03-01T22:25:42Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-03-01T22:25:42Z,2026-03-01T22:33:18Z,2026-03-01T22:25:42Z,2026-03-01T22:32:44Z,0.0,422.0,34.0,422.0,422.0,1.0,422.0,3.0,0,,0,,2026-03-06T05:57:34.093712+00:00,unknown,2_3,21_40
connectbot/connectbot,22538390619,1,success,Emu_Community,1,8c96ed9cf868e592,True,True,530,156.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2667,bbe5023e8f9d2d2d12273f1ea65f582a047725a2,2026-03-01T07:17:15Z,2026-03-01T07:17:15Z,completed,schedule,main,https://github.com/connectbot/connectbot/actions/runs/22538390619,2026-03-06T05:54:51.549299+00:00,156.0,success,step_name_anchor,373.0,ubuntu-latest,1,Build and test,Run instrument tests,371.0,371.0,2026-03-01T07:19:51Z,2026-03-01T07:26:02Z,0.7,Build and test,2026-03-01T07:17:17Z,job_started_at,154,exact,2026-03-01T07:17:17Z,2026-03-01T07:26:07Z,530,jobs_window,0,156.0,success,step_name_anchor,371.0,530,ubuntu-latest,1,1,Build and test,Run instrument tests,371.0,371.0,2026-03-01T07:19:51Z,2026-03-01T07:26:02Z,0.7,Build and test,2026-03-01T07:17:17Z,job_started_at,154,exact,2026-03-01T07:19:51Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-03-01T07:19:51Z,2026-03-01T07:26:04Z,2026-03-01T07:19:51Z,2026-03-01T07:26:02Z,0.0,371.0,2.0,371.0,371.0,1.0,371.0,,0,,0,,2026-03-06T05:57:34.366572+00:00,unknown,1,<=20
connectbot/connectbot,22515951108,1,success,Emu_Community,1,8c96ed9cf868e592,True,True,658,199.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2666,bbe5023e8f9d2d2d12273f1ea65f582a047725a2,2026-02-28T07:11:34Z,2026-02-28T07:11:34Z,completed,schedule,main,https://github.com/connectbot/connectbot/actions/runs/22515951108,2026-03-06T05:54:51.801656+00:00,199.0,success,step_name_anchor,460.0,ubuntu-latest,1,Build and test,Run instrument tests,458.0,458.0,2026-02-28T07:14:53Z,2026-02-28T07:22:31Z,0.696049,Build and test,2026-02-28T07:11:37Z,job_started_at,196,exact,2026-02-28T07:11:37Z,2026-02-28T07:22:35Z,658,jobs_window,0,199.0,success,step_name_anchor,458.0,658,ubuntu-latest,1,1,Build and test,Run instrument tests,458.0,458.0,2026-02-28T07:14:53Z,2026-02-28T07:22:31Z,0.696049,Build and test,2026-02-28T07:11:37Z,job_started_at,196,exact,2026-02-28T07:14:53Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-02-28T07:14:53Z,2026-02-28T07:22:33Z,2026-02-28T07:14:53Z,2026-02-28T07:22:31Z,0.0,458.0,2.0,458.0,458.0,1.0,458.0,,0,,0,,2026-03-06T05:57:34.590202+00:00,unknown,1,<=20
connectbot/connectbot,22429238799,1,success,Emu_Community,1,2c55c1219a688f60,True,True,1501,992.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2662,bbe5023e8f9d2d2d12273f1ea65f582a047725a2,2026-02-26T05:29:49Z,2026-02-26T05:29:49Z,completed,push,main,https://github.com/connectbot/connectbot/actions/runs/22429238799,2026-03-06T05:54:52.052913+00:00,992.0,success,step_name_anchor,486.0,ubuntu-latest,1,Build and test,Run instrument tests,450.0,450.0,2026-02-26T05:46:21Z,2026-02-26T05:53:51Z,0.2998,Build and test,2026-02-26T05:29:52Z,job_started_at,989,exact,2026-02-26T05:29:52Z,2026-02-26T05:54:53Z,1501,jobs_window,0,992.0,success,step_name_anchor,450.0,1501,ubuntu-latest,1,1,Build and test,Run instrument tests,450.0,450.0,2026-02-26T05:46:21Z,2026-02-26T05:53:51Z,0.2998,Build and test,2026-02-26T05:29:52Z,job_started_at,989,exact,2026-02-26T05:46:21Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-02-26T05:46:21Z,2026-02-26T05:54:27Z,2026-02-26T05:46:21Z,2026-02-26T05:53:51Z,0.0,450.0,36.0,450.0,450.0,1.0,450.0,3.0,0,,0,,2026-03-06T05:57:34.827786+00:00,unknown,2_3,21_40
connectbot/connectbot,22429212733,1,success,Emu_Community,1,2c55c1219a688f60,True,True,1460,955.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2661,d9a9922141087c17186a0b297f959e73a3f6a84f,2026-02-26T05:28:43Z,2026-02-26T05:28:43Z,completed,push,main,https://github.com/connectbot/connectbot/actions/runs/22429212733,2026-03-06T05:54:52.316440+00:00,955.0,success,step_name_anchor,479.0,ubuntu-latest,1,Build and test,Run instrument tests,428.0,428.0,2026-02-26T05:44:38Z,2026-02-26T05:51:46Z,0.293151,Build and test,2026-02-26T05:28:45Z,job_started_at,953,exact,2026-02-26T05:28:45Z,2026-02-26T05:53:05Z,1460,jobs_window,0,955.0,success,step_name_anchor,428.0,1460,ubuntu-latest,1,1,Build and test,Run instrument tests,428.0,428.0,2026-02-26T05:44:38Z,2026-02-26T05:51:46Z,0.293151,Build and test,2026-02-26T05:28:45Z,job_started_at,953,exact,2026-02-26T05:44:38Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-02-26T05:44:38Z,2026-02-26T05:52:37Z,2026-02-26T05:44:38Z,2026-02-26T05:51:46Z,0.0,428.0,51.0,428.0,428.0,1.0,428.0,3.0,0,,0,,2026-03-06T05:57:35.136571+00:00,unknown,2_3,21_40
connectbot/connectbot,22429202632,1,success,Emu_Community,1,2c55c1219a688f60,True,True,1384,885.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2660,b496205bc0e10988be7385f54702d50fd1d61a18,2026-02-26T05:28:19Z,2026-02-26T05:28:19Z,completed,push,main,https://github.com/connectbot/connectbot/actions/runs/22429202632,2026-03-06T05:54:52.825604+00:00,885.0,success,step_name_anchor,472.0,ubuntu-latest,1,Build and test,Run instrument tests,423.0,423.0,2026-02-26T05:43:04Z,2026-02-26T05:50:07Z,0.305636,Build and test,2026-02-26T05:28:22Z,job_started_at,882,exact,2026-02-26T05:28:22Z,2026-02-26T05:51:26Z,1384,jobs_window,0,885.0,success,step_name_anchor,423.0,1384,ubuntu-latest,1,1,Build and test,Run instrument tests,423.0,423.0,2026-02-26T05:43:04Z,2026-02-26T05:50:07Z,0.305636,Build and test,2026-02-26T05:28:22Z,job_started_at,882,exact,2026-02-26T05:43:04Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-02-26T05:43:04Z,2026-02-26T05:50:56Z,2026-02-26T05:43:04Z,2026-02-26T05:50:07Z,0.0,423.0,49.0,423.0,423.0,1.0,423.0,8.0,0,,0,,2026-03-06T05:57:35.487738+00:00,unknown,2_3,21_40
connectbot/connectbot,22429199907,1,success,Emu_Community,1,2c55c1219a688f60,True,True,1445,830.0,0,main,Continuous Integration,6226310,.github/workflows/ci.yml,yes,Emu_Community,"Gradle,Gradle_Connected",,Run instrument tests,,2659,883f9bdaebc26e7a1135c3d3b5342ba7d37341ad,2026-02-26T05:28:11Z,2026-02-26T05:28:11Z,completed,push,main,https://github.com/connectbot/connectbot/actions/runs/22429199907,2026-03-06T05:54:53.230756+00:00,830.0,success,step_name_anchor,590.0,ubuntu-latest,1,Build and test,Run instrument tests,553.0,553.0,2026-02-26T05:42:01Z,2026-02-26T05:51:14Z,0.382699,Build and test,2026-02-26T05:28:13Z,job_started_at,828,exact,2026-02-26T05:28:13Z,2026-02-26T05:52:18Z,1445,jobs_window,0,830.0,success,step_name_anchor,553.0,1445,ubuntu-latest,1,1,Build and test,Run instrument tests,553.0,553.0,2026-02-26T05:42:01Z,2026-02-26T05:51:14Z,0.382699,Build and test,2026-02-26T05:28:13Z,job_started_at,828,exact,2026-02-26T05:42:01Z,stage1_anchor_name_match:stage1_anchor_exact_norm,0,runtime_anchor_job_earliest_step_to_anchor_step,runtime_observed,1.0,runtime_observed_job_order,2026-02-26T05:42:01Z,2026-02-26T05:51:51Z,2026-02-26T05:42:01Z,2026-02-26T05:51:14Z,0.0,553.0,37.0,553.0,553.0,1.0,553.0,3.0,0,,0,,2026-03-06T05:57:35.872765+00:00,unknown,2_3,21_40
