full_name,run_id,workflow_identifier,workflow_path,head_sha,styles,job_id,job_name,step_name,category,category_reason,step_style_tag,step_style_reason,started_at,completed_at,duration_seconds,step_norm_key,runner_injected,yaml_match,yaml_match_reason,yaml_step_name,yaml_run_snip,yaml_uses_snip,yaml_with_script_snip,yaml_block_snip,stage1_anchor_match,stage1_anchor_match_reason,stage3_extracted_at_utc
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Set up job,other,runner_injected_no_yaml,,,2026-03-04T07:19:32+00:00,2026-03-04T07:19:35+00:00,3,set up job,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Checkout (with history),other,no_phase_signal,,,2026-03-04T07:19:35+00:00,2026-03-04T07:19:37+00:00,2,checkout with history,0,YES,exact_norm,Checkout (with history),,actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,,- name: Checkout (with history) uses: actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd # v6.0.2 with: fetch-depth: 0 fetch-tags: true,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Validate Gradle Wrapper,gradle,gradle_non_test,,,2026-03-04T07:19:37+00:00,2026-03-04T07:19:37+00:00,0,validate gradle wrapper,0,YES,exact_norm,Validate Gradle Wrapper,,gradle/actions/wrapper-validation@0723195856401067f7a2779048b490ace7a47d7c,,- name: Validate Gradle Wrapper uses: gradle/actions/wrapper-validation@0723195856401067f7a2779048b490ace7a47d7c # v5.0.2,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Set up JDK,other,no_phase_signal,,,2026-03-04T07:19:37+00:00,2026-03-04T07:19:43+00:00,6,set up jdk,0,YES,exact_norm,Set up JDK,,actions/setup-java@be666c2fcd27ec809703dec50e508c2fdc7f6654,,- name: Set up JDK uses: actions/setup-java@be666c2fcd27ec809703dec50e508c2fdc7f6654 # v5.2.0 with: distribution: 'zulu' java-version: '17',0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Setup Gradle,gradle,gradle_non_test,,,2026-03-04T07:19:43+00:00,2026-03-04T07:19:55+00:00,12,setup gradle,0,YES,exact_norm,Setup Gradle,,gradle/actions/setup-gradle@0723195856401067f7a2779048b490ace7a47d7c,,- name: Setup Gradle uses: gradle/actions/setup-gradle@0723195856401067f7a2779048b490ace7a47d7c # v5.0.2 with: dependency-graph: generate-and-submit cache-encryption-key: ${{ secrets.GRADLE_CACHE_ENCRYPTION_KEY }},0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Delete old Android SDK cmdline-tools,other,no_phase_signal,,,2026-03-04T07:19:55+00:00,2026-03-04T07:19:56+00:00,1,delete old android sdk cmdline tools,0,YES,exact_norm,Delete old Android SDK cmdline-tools,rm -rf $ANDROID_HOME/cmdline-tools/latest,,,- name: Delete old Android SDK cmdline-tools run: | rm -rf $ANDROID_HOME/cmdline-tools/latest,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Setup Android SDK,env_setup,env_setup_signal,,,2026-03-04T07:19:56+00:00,2026-03-04T07:20:20+00:00,24,setup android sdk,0,YES,exact_norm,Setup Android SDK,,android-actions/setup-android@9fc6c4e9069bf8d3d10b2204b1fb8f6ef7065407,,- name: Setup Android SDK uses: android-actions/setup-android@9fc6c4e9069bf8d3d10b2204b1fb8f6ef7065407 # v3.2.2 with: cmdline-tools-version: '13114758' packages: 'cmdline-tools;latest tools platform-tools',0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Build ConnectBot,gradle,gradle_non_test,,,2026-03-04T07:20:20+00:00,2026-03-04T07:21:21+00:00,61,build connectbot,0,YES,exact_norm,Build ConnectBot,./gradlew build bundle,,,- name: Build ConnectBot run: ./gradlew build bundle,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Enable KVM for emulator and clear up space,env_setup,env_setup_signal,,,2026-03-04T07:21:21+00:00,2026-03-04T07:22:06+00:00,45,enable kvm for emulator and clear up space,0,YES,exact_norm,Enable KVM for emulator and clear up space,"echo 'KERNEL==""kvm"", GROUP=""kvm"", MODE=""0666"", OPTIONS+=""static_node=kvm""' | sudo tee /etc/udev/rules.d/99-kvm4all.rules sudo udevadm control --reload-rules sudo udevadm trigger --name-match=kvm echo ""Available disk s...",,,"- name: Enable KVM for emulator and clear up space run: | echo 'KERNEL==""kvm"", GROUP=""kvm"", MODE=""0666"", OPTIONS+=""static_node=kvm""' | sudo tee /etc/udev/rules.d/99-kvm4all.rules sudo udevadm control --reload-rules sudo udevadm trigger --name-match=kvm echo ""Available disk spa...",0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Run instrument tests,test,local_instru_invoke,Emu_Community,single_style_run_override,2026-03-04T07:22:06+00:00,2026-03-04T07:28:04+00:00,358,run instrument tests,0,YES,exact_norm,Run instrument tests,,reactivecircus/android-emulator-runner@b530d96654c385303d652368551fb075bc2f0b6b,./gradlew connectedCheck --continue,- name: Run instrument tests uses: reactivecircus/android-emulator-runner@b530d96654c385303d652368551fb075bc2f0b6b # v2.35.0 with: api-level: 29 target: default arch: x86_64 disk-size: 2G script: ./gradlew connectedCheck --continue,1,stage1_anchor_exact_norm,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Prepare release,other,no_phase_signal,Emu_Community,single_style_run_override,2026-03-04T07:28:04+00:00,2026-03-04T07:28:04+00:00,0,prepare release,0,YES,exact_norm,Prepare release,"if git describe --exact-match; then \ TAGGED=yes fi if [[ -n $TAGGED ]]; then GITHUB_TAG=""$(git describe)"" echo ""${GITHUB_TAG}"" > tag.txt echo ""Release ${GITHUB_TAG}"" > release-title.txt else \ GITHUB_TAG=""git-$(git d...",,,"- name: Prepare release if: ${{ github.event_name == 'push' }} run: | if git describe --exact-match; then \ TAGGED=yes fi if [[ -n $TAGGED ]]; then GITHUB_TAG=""$(git describe)"" echo ""${GITHUB_TAG}"" > tag.txt echo ""Release ${GITHUB_TAG}"" > release-title.txt else \ GITHUB_TAG=""g...",0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Store artifacts for upload,artifact,artifact_upload_signal,Emu_Community,single_style_run_override,2026-03-04T07:28:04+00:00,2026-03-04T07:28:04+00:00,0,store artifacts for upload,0,YES,exact_norm,Store artifacts for upload,,actions/upload-artifact@b7c566a772e6b6bfb58ed0dc250532a479d7789f,,- name: Store artifacts for upload if: ${{ github.event_name == 'push' }} uses: actions/upload-artifact@b7c566a772e6b6bfb58ed0dc250532a479d7789f # v6.0.0 with: name: apk path: | release-title.txt tag.txt ConnectBot-*-unsigned.apk ConnectBot-*-unsigned.aab ConnectBot-*.native-d...,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Post Setup Gradle,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-04T07:28:04+00:00,2026-03-04T07:28:06+00:00,2,post setup gradle,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Post Set up JDK,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-04T07:28:06+00:00,2026-03-04T07:28:06+00:00,0,post set up jdk,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Post Checkout (with history),other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-04T07:28:06+00:00,2026-03-04T07:28:06+00:00,0,post checkout with history,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65675420014,Build and test,Complete job,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-04T07:28:06+00:00,2026-03-04T07:28:06+00:00,0,complete job,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.119968+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Set up job,other,runner_injected_no_yaml,,,2026-03-01T22:12:11+00:00,2026-03-01T22:12:13+00:00,2,set up job,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Checkout (with history),other,no_phase_signal,,,2026-03-01T22:12:13+00:00,2026-03-01T22:12:15+00:00,2,checkout with history,0,YES,exact_norm,Checkout (with history),,actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,,- name: Checkout (with history) uses: actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd # v6.0.2 with: fetch-depth: 0 fetch-tags: true,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Validate Gradle Wrapper,gradle,gradle_non_test,,,2026-03-01T22:12:15+00:00,2026-03-01T22:12:15+00:00,0,validate gradle wrapper,0,YES,exact_norm,Validate Gradle Wrapper,,gradle/actions/wrapper-validation@0723195856401067f7a2779048b490ace7a47d7c,,- name: Validate Gradle Wrapper uses: gradle/actions/wrapper-validation@0723195856401067f7a2779048b490ace7a47d7c # v5.0.2,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Set up JDK,other,no_phase_signal,,,2026-03-01T22:12:15+00:00,2026-03-01T22:12:20+00:00,5,set up jdk,0,YES,exact_norm,Set up JDK,,actions/setup-java@be666c2fcd27ec809703dec50e508c2fdc7f6654,,- name: Set up JDK uses: actions/setup-java@be666c2fcd27ec809703dec50e508c2fdc7f6654 # v5.2.0 with: distribution: 'zulu' java-version: '17',0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Setup Gradle,gradle,gradle_non_test,,,2026-03-01T22:12:20+00:00,2026-03-01T22:12:32+00:00,12,setup gradle,0,YES,exact_norm,Setup Gradle,,gradle/actions/setup-gradle@0723195856401067f7a2779048b490ace7a47d7c,,- name: Setup Gradle uses: gradle/actions/setup-gradle@0723195856401067f7a2779048b490ace7a47d7c # v5.0.2 with: dependency-graph: generate-and-submit cache-encryption-key: ${{ secrets.GRADLE_CACHE_ENCRYPTION_KEY }},0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Delete old Android SDK cmdline-tools,other,no_phase_signal,,,2026-03-01T22:12:32+00:00,2026-03-01T22:12:34+00:00,2,delete old android sdk cmdline tools,0,YES,exact_norm,Delete old Android SDK cmdline-tools,rm -rf $ANDROID_HOME/cmdline-tools/latest,,,- name: Delete old Android SDK cmdline-tools run: | rm -rf $ANDROID_HOME/cmdline-tools/latest,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Setup Android SDK,env_setup,env_setup_signal,,,2026-03-01T22:12:34+00:00,2026-03-01T22:12:54+00:00,20,setup android sdk,0,YES,exact_norm,Setup Android SDK,,android-actions/setup-android@9fc6c4e9069bf8d3d10b2204b1fb8f6ef7065407,,- name: Setup Android SDK uses: android-actions/setup-android@9fc6c4e9069bf8d3d10b2204b1fb8f6ef7065407 # v3.2.2 with: cmdline-tools-version: '13114758' packages: 'cmdline-tools;latest tools platform-tools',0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Build ConnectBot,gradle,gradle_non_test,,,2026-03-01T22:12:54+00:00,2026-03-01T22:25:36+00:00,762,build connectbot,0,YES,exact_norm,Build ConnectBot,./gradlew build bundle,,,- name: Build ConnectBot run: ./gradlew build bundle,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Enable KVM for emulator and clear up space,env_setup,env_setup_signal,,,2026-03-01T22:25:36+00:00,2026-03-01T22:26:29+00:00,53,enable kvm for emulator and clear up space,0,YES,exact_norm,Enable KVM for emulator and clear up space,"echo 'KERNEL==""kvm"", GROUP=""kvm"", MODE=""0666"", OPTIONS+=""static_node=kvm""' | sudo tee /etc/udev/rules.d/99-kvm4all.rules sudo udevadm control --reload-rules sudo udevadm trigger --name-match=kvm echo ""Available disk s...",,,"- name: Enable KVM for emulator and clear up space run: | echo 'KERNEL==""kvm"", GROUP=""kvm"", MODE=""0666"", OPTIONS+=""static_node=kvm""' | sudo tee /etc/udev/rules.d/99-kvm4all.rules sudo udevadm control --reload-rules sudo udevadm trigger --name-match=kvm echo ""Available disk spa...",0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Run instrument tests,test,local_instru_invoke,Emu_Community,single_style_run_override,2026-03-01T22:26:29+00:00,2026-03-01T22:33:07+00:00,398,run instrument tests,0,YES,exact_norm,Run instrument tests,,reactivecircus/android-emulator-runner@b530d96654c385303d652368551fb075bc2f0b6b,./gradlew connectedCheck --continue,- name: Run instrument tests uses: reactivecircus/android-emulator-runner@b530d96654c385303d652368551fb075bc2f0b6b # v2.35.0 with: api-level: 29 target: default arch: x86_64 disk-size: 2G script: ./gradlew connectedCheck --continue,1,stage1_anchor_exact_norm,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Prepare release,other,no_phase_signal,Emu_Community,single_style_run_override,2026-03-01T22:33:07+00:00,2026-03-01T22:33:08+00:00,1,prepare release,0,YES,exact_norm,Prepare release,"if git describe --exact-match; then \ TAGGED=yes fi if [[ -n $TAGGED ]]; then GITHUB_TAG=""$(git describe)"" echo ""${GITHUB_TAG}"" > tag.txt echo ""Release ${GITHUB_TAG}"" > release-title.txt else \ GITHUB_TAG=""git-$(git d...",,,"- name: Prepare release if: ${{ github.event_name == 'push' }} run: | if git describe --exact-match; then \ TAGGED=yes fi if [[ -n $TAGGED ]]; then GITHUB_TAG=""$(git describe)"" echo ""${GITHUB_TAG}"" > tag.txt echo ""Release ${GITHUB_TAG}"" > release-title.txt else \ GITHUB_TAG=""g...",0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Store artifacts for upload,artifact,artifact_upload_signal,Emu_Community,single_style_run_override,2026-03-01T22:33:08+00:00,2026-03-01T22:33:10+00:00,2,store artifacts for upload,0,YES,exact_norm,Store artifacts for upload,,actions/upload-artifact@b7c566a772e6b6bfb58ed0dc250532a479d7789f,,- name: Store artifacts for upload if: ${{ github.event_name == 'push' }} uses: actions/upload-artifact@b7c566a772e6b6bfb58ed0dc250532a479d7789f # v6.0.0 with: name: apk path: | release-title.txt tag.txt ConnectBot-*-unsigned.apk ConnectBot-*-unsigned.aab ConnectBot-*.native-d...,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Post Setup Gradle,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-01T22:33:10+00:00,2026-03-01T22:33:44+00:00,34,post setup gradle,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Post Set up JDK,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-01T22:33:44+00:00,2026-03-01T22:33:44+00:00,0,post set up jdk,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Post Checkout (with history),other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-01T22:33:44+00:00,2026-03-01T22:33:44+00:00,0,post checkout with history,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65328199537,Build and test,Complete job,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-01T22:33:44+00:00,2026-03-01T22:33:44+00:00,0,complete job,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329244246,Upload to GitHub releases,Set up job,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-01T22:33:49+00:00,2026-03-01T22:33:52+00:00,3,set up job,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329244246,Upload to GitHub releases,Download artifacts from previous job,other,no_phase_signal,Emu_Community,single_style_run_override,2026-03-01T22:33:52+00:00,2026-03-01T22:33:55+00:00,3,download artifacts from previous job,0,YES,exact_norm,Download artifacts from previous job,,actions/download-artifact@37930b1c2abaa49bbe596cd826c3c89aef350131,,- name: Download artifacts from previous job uses: actions/download-artifact@37930b1c2abaa49bbe596cd826c3c89aef350131 # v7.0.0 with: name: apk,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329244246,Upload to GitHub releases,Set release name,other,no_phase_signal,Emu_Community,single_style_run_override,2026-03-01T22:33:55+00:00,2026-03-01T22:33:55+00:00,0,set release name,0,YES,exact_norm,Set release name,"echo ""GITHUB_TAG=$(cat tag.txt)"" >> ""$GITHUB_OUTPUT""",,,"- name: Set release name id: name run: | echo ""GITHUB_TAG=$(cat tag.txt)"" >> ""$GITHUB_OUTPUT""",0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329244246,Upload to GitHub releases,Upload release,other,no_phase_signal,Emu_Community,single_style_run_override,2026-03-01T22:33:55+00:00,2026-03-01T22:34:03+00:00,8,upload release,0,YES,exact_norm,Upload release,,softprops/action-gh-release@a06a81a03ee405af7f2048a818ed3f03bbf83c7b,,"- name: Upload release uses: softprops/action-gh-release@a06a81a03ee405af7f2048a818ed3f03bbf83c7b # v2.5.0 with: body: ""Untested build"" draft: true tag_name: ${{ steps.name.outputs.GITHUB_TAG }} name: ${{ steps.name.outputs.RELEASE_TITLE }} generate_release_notes: true files: ...",0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329244246,Upload to GitHub releases,Complete job,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-01T22:34:03+00:00,2026-03-01T22:34:03+00:00,0,complete job,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329258305,Trigger remote signing,Set up job,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-01T22:34:07+00:00,2026-03-01T22:34:08+00:00,1,set up job,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329258305,Trigger remote signing,Pull ghcr.io/distributhor/workflow-webhook-container:v3.0.8,other,no_yaml_block,Emu_Community,single_style_run_override,2026-03-01T22:34:08+00:00,2026-03-01T22:34:10+00:00,2,pull ghcr io distributhor workflow webhook container v3 0 8,0,NO,no_match,,,,,,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329258305,Trigger remote signing,Download artifacts from previous job,other,no_phase_signal,Emu_Community,single_style_run_override,2026-03-01T22:34:10+00:00,2026-03-01T22:34:11+00:00,1,download artifacts from previous job,0,YES,exact_norm,Download artifacts from previous job,,actions/download-artifact@37930b1c2abaa49bbe596cd826c3c89aef350131,,- name: Download artifacts from previous job uses: actions/download-artifact@37930b1c2abaa49bbe596cd826c3c89aef350131 # v7.0.0 with: name: apk,0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329258305,Trigger remote signing,Set release name,other,no_phase_signal,Emu_Community,single_style_run_override,2026-03-01T22:34:11+00:00,2026-03-01T22:34:11+00:00,0,set release name,0,YES,exact_norm,Set release name,"echo ""GITHUB_TAG=$(cat tag.txt)"" >> ""$GITHUB_OUTPUT""",,,"- name: Set release name id: name run: | echo ""GITHUB_TAG=$(cat tag.txt)"" >> ""$GITHUB_OUTPUT""",0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329258305,Trigger remote signing,Call remote signer,other,no_phase_signal,Emu_Community,single_style_run_override,2026-03-01T22:34:11+00:00,2026-03-01T22:34:12+00:00,1,call remote signer,0,YES,exact_norm,Call remote signer,,distributhor/workflow-webhook@2381f0e9c7b6bf061fb1405bd0804b8706116369,,"- name: Call remote signer uses: distributhor/workflow-webhook@2381f0e9c7b6bf061fb1405bd0804b8706116369 # v3.0.8 with: webhook_url: ${{ secrets.SIGNER_WEBHOOK_URL }} data: '{""tag_id"": ""${{ steps.name.outputs.GITHUB_TAG }}""}'",0,,2026-03-06T05:57:33.385400+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,Emu_Community,65329258305,Trigger remote signing,Complete job,other,runner_injected_no_yaml,Emu_Community,single_style_run_override,2026-03-01T22:34:12+00:00,2026-03-01T22:34:12+00:00,0,complete job,1,NO,skip_runner_injected,,,,,,0,,2026-03-06T05:57:33.385400+00:00
