full_name,run_id,workflow_identifier,workflow_path,head_sha,signature_inputs,runner_os_bucket,runner_os_source,job_count_total,job_count_total_bucket,step_count_exec,step_count_exec_bucket,step_count_decl,step_count_decl_bucket,step_count_source,step_count_total_bucket,junit_cases,junit_source,test_suite_size_bucket,sig_basis_base,signature_hash_base,sig_basis_full,signature_hash_full,signature_hash,stage4_extracted_at_utc
connectbot/connectbot,22794497479,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,steps+yaml,ubuntu,yaml,1,1,16,<=20,17,<=20,executed,<=20,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=1
step_count_total_bucket=<=20",3d22b01aa64c195c,"runner_os_bucket=ubuntu
job_count_total_bucket=1
step_count_total_bucket=<=20
test_suite_size_bucket=unknown",e219945f860a08d4,e219945f860a08d4,2026-03-09T16:10:29.983306+00:00
connectbot/connectbot,22659215789,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,steps+yaml,ubuntu,yaml,1,1,16,<=20,17,<=20,executed,<=20,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=1
step_count_total_bucket=<=20",3d22b01aa64c195c,"runner_os_bucket=ubuntu
job_count_total_bucket=1
step_count_total_bucket=<=20
test_suite_size_bucket=unknown",e219945f860a08d4,e219945f860a08d4,2026-03-09T16:10:30.123906+00:00
connectbot/connectbot,22553971141,Continuous Integration,.github/workflows/ci.yml,7eb7ab9511ed3c88ece72494ddec2e90c67afbeb,steps+yaml,ubuntu,yaml,3,2_3,27,21_40,17,<=20,executed,21_40,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,2026-03-09T16:10:30.332404+00:00
connectbot/connectbot,22553965990,Continuous Integration,.github/workflows/ci.yml,ab6e054a02ef0bd2ad6b07fa507801f68d48844d,steps+yaml,ubuntu,yaml,3,2_3,27,21_40,17,<=20,executed,21_40,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,2026-03-09T16:10:30.751425+00:00
connectbot/connectbot,22553961130,Continuous Integration,.github/workflows/ci.yml,0f62383edc671b8d62d692d2f5f2d2d7d2ccb706,steps+yaml,ubuntu,yaml,3,2_3,27,21_40,17,<=20,executed,21_40,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,2026-03-09T16:10:31.227493+00:00
connectbot/connectbot,22538390619,Continuous Integration,.github/workflows/ci.yml,bbe5023e8f9d2d2d12273f1ea65f582a047725a2,steps+yaml,ubuntu,yaml,1,1,16,<=20,17,<=20,executed,<=20,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=1
step_count_total_bucket=<=20",3d22b01aa64c195c,"runner_os_bucket=ubuntu
job_count_total_bucket=1
step_count_total_bucket=<=20
test_suite_size_bucket=unknown",e219945f860a08d4,e219945f860a08d4,2026-03-09T16:10:31.569601+00:00
connectbot/connectbot,22515951108,Continuous Integration,.github/workflows/ci.yml,bbe5023e8f9d2d2d12273f1ea65f582a047725a2,steps+yaml,ubuntu,yaml,1,1,16,<=20,17,<=20,executed,<=20,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=1
step_count_total_bucket=<=20",3d22b01aa64c195c,"runner_os_bucket=ubuntu
job_count_total_bucket=1
step_count_total_bucket=<=20
test_suite_size_bucket=unknown",e219945f860a08d4,e219945f860a08d4,2026-03-09T16:10:31.757224+00:00
connectbot/connectbot,22429238799,Continuous Integration,.github/workflows/ci.yml,bbe5023e8f9d2d2d12273f1ea65f582a047725a2,steps+yaml,ubuntu,yaml,3,2_3,27,21_40,17,<=20,executed,21_40,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,2026-03-09T16:10:31.921195+00:00
connectbot/connectbot,22429212733,Continuous Integration,.github/workflows/ci.yml,d9a9922141087c17186a0b297f959e73a3f6a84f,steps+yaml,ubuntu,yaml,3,2_3,27,21_40,17,<=20,executed,21_40,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,2026-03-09T16:10:32.288190+00:00
connectbot/connectbot,22429202632,Continuous Integration,.github/workflows/ci.yml,b496205bc0e10988be7385f54702d50fd1d61a18,steps+yaml,ubuntu,yaml,3,2_3,27,21_40,17,<=20,executed,21_40,,none,unknown,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40",bebe325d7bbae31f,"runner_os_bucket=ubuntu
job_count_total_bucket=2_3
step_count_total_bucket=21_40
test_suite_size_bucket=unknown",51ffe354741f9063,51ffe354741f9063,2026-03-09T16:10:32.602495+00:00
