coarsened_family,Community,Custom,GMD,Third-Party,regime,styles_present,total_records,qualifies_tier2
ubuntu|2_3|21_40,1716,0,0,8,base,2,1724,True
ubuntu|1|<=20,776,0,274,430,base,3,1480,True
mixed_or_unknown|>6|>80,1285,34,0,17,base,3,1336,True
mixed_or_unknown|4_6|>80,164,5,0,0,base,2,169,True
macos|1|<=20,21,0,0,23,base,2,44,True
ubuntu|2_3|<=20,872,0,0,0,base,1,872,False
ubuntu|>6|21_40,667,0,0,0,base,1,667,False
mixed_or_unknown|4_6|21_40,575,0,0,0,base,1,575,False
mixed_or_unknown|4_6|41_80,389,0,0,0,base,1,389,False
ubuntu|4_6|21_40,310,0,0,0,base,1,310,False
ubuntu|>6|>80,291,0,0,0,base,1,291,False
mixed_or_unknown|>6|21_40,221,0,0,0,base,1,221,False
ubuntu|2_3|41_80,168,0,4,0,base,2,172,False
ubuntu|1|21_40,135,0,0,3,base,2,138,False
ubuntu|4_6|<=20,116,0,0,0,base,1,116,False
ubuntu|4_6|41_80,77,0,0,0,base,1,77,False
ubuntu|>6|41_80,28,0,0,0,base,1,28,False
ubuntu|>6|<=20,19,0,0,0,base,1,19,False
ubuntu|2_3|unknown,1,0,0,17,base,2,18,False
mixed_or_unknown|>6|41_80,15,0,0,0,base,1,15,False
macos|1|unknown,0,0,0,13,base,1,13,False
mixed_or_unknown|2_3|>80,11,0,0,0,base,1,11,False
ubuntu|1|unknown,0,0,0,11,base,1,11,False
mixed_or_unknown|>6|<=20,9,0,0,0,base,1,9,False
mixed_or_unknown|2_3|<=20,8,0,0,0,base,1,8,False
mixed_or_unknown|4_6|<=20,5,0,0,0,base,1,5,False
mixed_or_unknown|unknown|21_40,3,0,0,0,base,1,3,False
ubuntu|4_6|>80,3,0,0,0,base,1,3,False
macos|2_3|21_40,2,0,0,0,base,1,2,False
ubuntu|unknown|21_40,2,0,0,0,base,1,2,False
macos|2_3|<=20,1,0,0,0,base,1,1,False
mixed_or_unknown|2_3|21_40,1,0,0,0,base,1,1,False
ubuntu|unknown|<=20,0,0,0,1,base,1,1,False
unknown|unknown|unknown,0,0,0,1,base,1,1,False
ubuntu|2_3|21_40,1716,0,0,8,first_attempt,2,1724,True
ubuntu|1|<=20,776,0,274,430,first_attempt,3,1480,True
mixed_or_unknown|>6|>80,1285,34,0,17,first_attempt,3,1336,True
mixed_or_unknown|4_6|>80,164,5,0,0,first_attempt,2,169,True
macos|1|<=20,21,0,0,23,first_attempt,2,44,True
ubuntu|2_3|<=20,872,0,0,0,first_attempt,1,872,False
ubuntu|>6|21_40,667,0,0,0,first_attempt,1,667,False
mixed_or_unknown|4_6|21_40,575,0,0,0,first_attempt,1,575,False
mixed_or_unknown|4_6|41_80,389,0,0,0,first_attempt,1,389,False
ubuntu|4_6|21_40,310,0,0,0,first_attempt,1,310,False
ubuntu|>6|>80,291,0,0,0,first_attempt,1,291,False
mixed_or_unknown|>6|21_40,221,0,0,0,first_attempt,1,221,False
ubuntu|2_3|41_80,168,0,4,0,first_attempt,2,172,False
ubuntu|1|21_40,135,0,0,3,first_attempt,2,138,False
ubuntu|4_6|<=20,116,0,0,0,first_attempt,1,116,False
ubuntu|4_6|41_80,77,0,0,0,first_attempt,1,77,False
ubuntu|>6|41_80,28,0,0,0,first_attempt,1,28,False
ubuntu|>6|<=20,19,0,0,0,first_attempt,1,19,False
ubuntu|2_3|unknown,1,0,0,17,first_attempt,2,18,False
mixed_or_unknown|>6|41_80,15,0,0,0,first_attempt,1,15,False
macos|1|unknown,0,0,0,13,first_attempt,1,13,False
mixed_or_unknown|2_3|>80,11,0,0,0,first_attempt,1,11,False
ubuntu|1|unknown,0,0,0,11,first_attempt,1,11,False
mixed_or_unknown|>6|<=20,9,0,0,0,first_attempt,1,9,False
mixed_or_unknown|2_3|<=20,8,0,0,0,first_attempt,1,8,False
mixed_or_unknown|4_6|<=20,5,0,0,0,first_attempt,1,5,False
mixed_or_unknown|unknown|21_40,3,0,0,0,first_attempt,1,3,False
ubuntu|4_6|>80,3,0,0,0,first_attempt,1,3,False
macos|2_3|21_40,2,0,0,0,first_attempt,1,2,False
ubuntu|unknown|21_40,2,0,0,0,first_attempt,1,2,False
macos|2_3|<=20,1,0,0,0,first_attempt,1,1,False
mixed_or_unknown|2_3|21_40,1,0,0,0,first_attempt,1,1,False
ubuntu|unknown|<=20,0,0,0,1,first_attempt,1,1,False
unknown|unknown|unknown,0,0,0,1,first_attempt,1,1,False
